draw_no,date,weekday,n1,n2,n3,n4,n5,star1,star2,jackpot,jackpot_wins
1630,2022-06-03,,12,28,29,34,48,9,11,,
1631,2022-06-07,,6,16,17,25,31,2,6,,
1632,2022-06-10,,17,26,36,37,40,9,12,,
1633,2022-06-14,,2,7,27,34,40,3,11,,
1634,2022-06-17,,19,21,22,31,38,7,11,,
1635,2022-06-21,,6,23,36,39,47,8,10,,
1636,2022-06-24,,10,17,28,44,50,8,12,,
1637,2022-06-28,,10,35,42,47,48,2,11,,
1652,2022-07-01,,6,18,24,34,46,3,12,,
1653,2022-07-05,,7,10,25,45,48,3,6,,
1654,2022-07-08,,28,31,35,43,46,4,7,,
1687,2022-07-12,,14,18,24,25,50,6,11,,
1688,2022-07-15,,9,17,29,38,39,7,10,,
1689,2022-07-19,,6,23,27,40,41,2,12,,
1690,2022-07-22,,16,18,29,32,50,4,11,,
1691,2022-07-26,,3,5,17,25,27,1,9,,
1724,2022-07-29,,3,23,38,43,48,3,8,,
1725,2022-08-02,,7,18,28,40,48,8,11,,
1726,2022-08-05,,3,29,33,35,44,8,10,,
1727,2022-08-09,,18,19,21,27,47,5,11,,
1728,2022-08-12,,14,17,34,35,42,6,10,,
1729,2022-08-16,,10,14,25,32,39,7,8,,
1730,2022-08-19,,2,9,13,19,38,2,6,,
1731,2022-08-23,,19,26,31,39,48,2,3,,
1732,2022-08-26,,22,23,25,38,44,11,12,,
1733,2022-08-30,,4,6,10,15,19,1,4,,
1734,2022-09-02,,7,12,13,20,45,3,12,,
1735,2022-09-06,,7,10,22,29,44,4,5,,
1736,2022-09-09,,17,23,24,26,27,4,9,,
1737,2022-09-13,,9,12,15,40,47,1,11,,
1738,2022-09-16,,10,27,36,45,49,3,4,,
1739,2022-09-20,,11,21,23,32,48,3,12,,
1740,2022-09-23,,14,15,22,35,48,3,8,,
1741,2022-09-27,,4,20,21,34,44,1,3,,
1742,2022-09-30,,1,2,11,16,26,3,12,,
1743,2022-10-04,,3,18,28,42,43,3,12,,
1744,2022-10-07,,26,27,42,45,50,1,12,,
1745,2022-10-11,,8,23,32,35,40,1,8,,
1778,2022-10-14,,24,28,29,34,48,3,7,,
1779,2022-10-18,,3,5,13,42,48,1,6,,
1780,2022-10-21,,25,26,28,38,40,1,6,,
1781,2022-10-25,,7,24,34,39,46,1,6,,
1782,2022-10-28,,14,16,21,28,35,1,11,,
1783,2022-11-01,,19,37,42,47,48,1,6,,
1784,2022-11-04,,2,11,37,45,47,2,3,,
1785,2022-11-08,,3,5,32,33,50,1,8,,
1786,2022-11-11,,2,19,24,25,44,2,10,,
1787,2022-11-15,,13,21,24,31,33,1,12,,
1788,2022-11-18,,13,16,19,35,41,1,11,,
1789,2022-11-22,,21,22,24,29,42,3,11,,
1790,2022-11-25,,19,21,35,37,39,2,6,,
1791,2022-11-29,,15,20,24,35,38,8,12,,
1792,2022-12-02,,12,21,35,39,45,6,11,,
1793,2022-12-06,,12,20,25,26,27,8,12,,
1794,2022-12-09,,8,27,31,46,50,1,3,,
1795,2022-12-13,,3,9,12,26,30,10,11,,
1796,2022-12-16,,2,15,19,35,44,2,7,,
1797,2022-12-20,,1,11,17,20,27,4,5,,
1798,2022-12-23,,16,17,23,26,35,5,11,,
1799,2022-12-27,,19,31,33,34,43,3,5,,
1800,2022-12-30,,17,34,42,47,48,1,9,,
1801,2023-01-03,,20,21,29,45,46,3,10,,
1802,2023-01-06,,16,31,35,44,45,4,12,,
1803,2023-01-10,,11,13,34,40,42,3,10,,
1804,2023-01-13,,4,13,25,33,37,5,10,,
1805,2023-01-17,,18,21,30,46,50,2,6,,
1806,2023-01-20,,3,6,13,40,42,7,11,,
1807,2023-01-24,,11,27,41,43,47,7,11,,
1808,2023-01-27,,8,9,15,19,31,10,12,,
1809,2023-01-31,,7,12,19,33,43,3,7,,
1810,2023-02-03,,2,14,17,32,45,3,10,,
1811,2023-02-07,,2,8,34,44,47,3,9,,
1812,2023-02-10,,3,13,25,36,47,3,8,,
1813,2023-02-14,,24,26,38,43,46,2,3,,
1814,2023-02-17,,8,23,27,42,45,1,9,,
1815,2023-02-21,,21,22,34,41,49,2,7,,
1816,2023-02-24,,7,23,34,42,48,1,3,,
1817,2023-02-28,,12,29,33,37,47,5,10,,
1818,2023-03-03,,3,6,8,24,50,10,11,,
1819,2023-03-07,,11,13,24,35,50,6,11,,
1820,2023-03-10,,9,16,37,38,48,2,7,,
1821,2023-03-14,,16,26,28,31,46,11,12,,
1822,2023-03-17,,5,15,26,37,49,8,11,,
1823,2023-03-21,,1,9,20,29,32,2,3,,
1824,2023-03-24,,5,12,25,36,46,6,10,,
1825,2023-03-28,,16,21,34,36,44,9,10,,
1826,2023-03-31,,16,18,28,34,47,5,10,,
1827,2023-04-04,,10,16,31,33,50,3,8,,
1828,2023-04-07,,5,26,28,36,46,6,12,,
1829,2023-04-11,,10,14,16,19,29,2,10,,
1830,2023-04-14,,4,11,37,44,49,6,7,,
1831,2023-04-18,,17,21,23,35,37,10,11,,
1832,2023-04-21,,7,8,18,33,42,2,8,,
1833,2023-04-25,,10,29,30,40,45,1,12,,
1834,2023-04-28,,11,13,16,23,34,1,10,,
1835,2023-05-02,,7,32,44,47,48,7,8,,
1836,2023-05-05,,3,8,18,34,49,3,7,,
1837,2023-05-09,,13,17,21,28,46,7,9,,
1838,2023-05-12,,9,10,13,39,44,4,6,,
1839,2023-05-16,,4,6,9,14,37,4,11,,
1840,2023-05-19,,18,27,34,41,49,3,9,,
1841,2023-05-23,,5,6,14,23,34,2,11,,
1842,2023-05-26,,15,25,37,38,41,1,7,,
1843,2023-05-30,,27,29,32,33,47,2,8,,
1844,2023-06-02,,3,12,15,25,43,10,11,,
1845,2023-06-06,,13,21,32,39,50,2,10,,
1846,2023-06-09,,18,26,36,41,50,11,12,,
1847,2023-06-13,,15,16,21,41,50,5,6,,
1848,2023-06-16,,7,26,34,41,44,9,11,,
1849,2023-06-20,,11,17,28,32,35,5,6,,
1850,2023-06-23,,1,3,11,33,46,10,11,,
1851,2023-06-27,,17,22,23,27,44,1,7,,
1852,2023-06-30,,1,6,25,29,36,7,10,,
1853,2023-07-04,,14,17,23,36,44,2,8,,
1854,2023-07-07,,2,11,12,19,38,4,8,,
1855,2023-07-11,,2,11,28,42,48,4,9,,
1856,2023-07-14,,5,8,29,35,48,5,6,,
1857,2023-07-18,,4,12,34,35,45,1,9,,
1858,2023-07-21,,7,31,33,35,36,7,10,,
1859,2023-07-25,,5,7,11,27,37,6,12,,
1860,2023-07-28,,7,32,33,34,38,6,9,,
1861,2023-08-01,,25,27,35,40,45,7,11,,
1862,2023-08-04,,15,20,31,44,48,1,3,,
1863,2023-08-08,,8,9,33,35,40,3,6,,
1864,2023-08-11,,4,6,10,13,34,3,5,,
1865,2023-08-15,,3,5,9,32,43,6,10,,
1866,2023-08-18,,23,25,30,44,47,9,12,,
1867,2023-08-22,,2,9,23,32,40,6,7,,
1868,2023-08-25,,16,17,34,35,44,5,10,,
1869,2023-08-29,,21,23,32,40,49,8,11,,
1870,2023-09-01,,4,5,35,37,43,5,6,,
1871,2023-09-05,,1,7,24,41,48,10,12,,
1872,2023-09-08,,10,20,21,26,33,3,4,,
1873,2023-09-12,,5,14,36,40,42,2,11,,
1874,2023-09-15,,12,14,21,45,48,8,11,,
1875,2023-09-19,,10,15,31,41,42,2,5,,
1876,2023-09-22,,3,23,24,34,35,5,8,,
1877,2023-09-26,,2,6,14,19,23,5,7,,
1878,2023-09-29,,9,11,13,21,32,2,7,,
1879,2023-10-03,,6,20,22,24,45,4,5,,
1880,2023-10-06,,21,29,31,34,43,2,9,,
1881,2023-10-10,,18,20,22,33,43,3,9,,
1882,2023-10-13,,21,26,28,40,41,2,4,,
1883,2023-10-17,,10,17,20,35,40,3,4,,
1884,2023-10-20,,2,20,28,40,45,1,5,,
1885,2023-10-24,,8,16,18,31,34,6,9,,
1886,2023-10-27,,29,33,35,48,49,3,8,,
1887,2023-10-31,,5,7,20,40,50,2,10,,
1888,2023-11-03,,8,21,31,39,47,5,9,,
1889,2023-11-07,,8,10,11,30,39,4,10,,
1890,2023-11-10,,10,21,30,38,42,2,12,,
1891,2023-11-14,,13,16,36,44,50,3,5,,
1892,2023-11-17,,2,24,26,46,50,2,7,,
1893,2023-11-21,,19,29,34,46,47,2,3,,
1894,2023-11-24,,15,20,29,39,48,1,7,,
1895,2023-11-28,,12,16,27,33,44,7,8,,
1896,2023-12-01,,4,10,14,38,50,9,12,,
1897,2023-12-05,,4,6,20,24,25,5,9,,
1898,2023-12-08,,17,30,42,48,50,4,8,,
1899,2023-12-12,,6,28,37,39,43,9,12,,
1900,2023-12-15,,2,13,37,38,48,5,9,,
1901,2023-12-19,,10,20,41,43,45,2,12,,
1902,2023-12-22,,6,14,34,44,49,4,12,,
1903,2023-12-26,,8,27,30,35,47,9,10,,
1904,2023-12-29,,2,3,19,36,37,6,9,,
1905,2024-01-02,,7,15,18,46,49,10,12,,
1906,2024-01-05,,4,7,18,39,50,3,8,,
1907,2024-01-09,,2,9,12,39,40,1,3,,
1908,2024-01-12,,16,17,18,45,49,9,12,,
1909,2024-01-16,,10,18,21,33,45,8,12,,
1910,2024-01-19,,27,28,44,48,50,7,12,,
1911,2024-01-23,,14,23,39,48,50,3,12,,
1912,2024-01-26,,8,19,32,41,42,9,12,,
1913,2024-01-30,,5,10,19,27,30,5,6,,
1914,2024-02-02,,13,20,23,27,42,5,9,,
1915,2024-02-06,,2,7,21,28,45,5,11,,
1916,2024-02-09,,23,24,35,37,45,9,12,,
1917,2024-02-13,,13,17,18,20,46,4,9,,
1918,2024-02-16,,8,13,14,24,26,1,2,,
1919,2024-02-20,,23,31,37,42,48,3,7,,
1920,2024-02-23,,24,27,28,30,49,1,12,,
1921,2024-02-27,,3,4,9,12,20,5,6,,
1922,2024-03-01,,4,7,19,20,34,2,4,,
1923,2024-03-05,,2,15,17,23,36,3,8,,
1924,2024-03-08,,8,11,12,16,44,4,7,,
1925,2024-03-12,,13,19,30,38,46,4,12,,
1926,2024-03-15,,1,4,31,34,40,4,5,,
1927,2024-03-19,,7,16,18,20,32,1,3,,
1928,2024-03-22,,8,11,23,32,44,9,10,,
1929,2024-03-26,,2,13,14,26,29,5,6,,
1930,2024-03-29,,16,17,35,36,49,1,10,,
1931,2024-04-02,,1,23,31,36,48,5,8,,
1932,2024-04-05,,13,18,26,35,37,8,11,,
1933,2024-04-09,,19,23,26,27,46,2,10,,
1934,2024-04-12,,2,3,12,16,45,2,11,,
1935,2024-04-16,,22,29,31,39,46,3,7,,
1936,2024-04-19,,10,20,40,44,46,1,3,,
1937,2024-04-23,,6,9,11,32,49,2,10,,
1938,2024-04-26,,2,20,39,40,47,4,8,,
1939,2024-04-30,,13,22,24,33,47,1,5,,
1940,2024-05-03,,6,9,10,30,49,3,4,,
1941,2024-05-07,,35,36,41,42,45,6,11,,
1942,2024-05-10,,13,28,29,44,48,4,12,,
1943,2024-05-14,,2,8,17,28,35,7,9,,
1944,2024-05-17,,18,31,32,41,46,1,10,,
1945,2024-05-21,,11,13,14,34,48,7,9,,
1946,2024-05-24,,9,12,18,22,50,1,3,,
1947,2024-05-28,,16,18,35,36,41,6,7,,
1948,2024-05-31,,4,7,16,33,34,7,8,,
1949,2024-06-04,,6,7,9,14,43,3,4,,
1950,2024-06-07,,15,16,26,30,37,5,8,,
1951,2024-06-11,,7,15,34,45,48,7,9,,
1952,2024-06-14,,2,13,16,24,32,1,7,,
1953,2024-06-18,,3,11,33,34,36,1,12,,
1954,2024-06-21,,3,4,7,11,17,3,12,,
1955,2024-06-25,,14,16,37,45,49,5,7,,
1956,2024-06-28,,10,16,18,22,35,1,10,,
1957,2024-07-02,,2,7,34,35,46,6,8,,
1958,2024-07-05,,11,13,29,31,47,1,11,,
1959,2024-07-09,,6,15,19,28,39,7,11,,
1960,2024-07-12,,12,18,24,25,39,8,10,,
1961,2024-07-16,,2,32,35,36,39,7,8,,
1962,2024-07-19,,15,22,35,44,48,6,7,,
1963,2024-07-23,,4,8,10,16,34,4,8,,
1964,2024-07-26,,4,19,23,35,37,4,8,,
1965,2024-07-30,,9,25,28,37,38,2,8,,
1966,2024-08-02,,5,7,12,33,46,3,12,,
1967,2024-08-06,,1,18,27,41,50,2,12,,
1968,2024-08-09,,21,23,25,33,44,4,10,,
1969,2024-08-13,,15,16,39,40,47,1,6,,
1970,2024-08-16,,15,17,29,45,49,1,10,,
1971,2024-08-20,,7,10,13,18,26,3,12,,
1972,2024-08-23,,9,15,24,47,50,8,9,,
1973,2024-08-27,,1,8,11,42,47,4,11,,
1974,2024-08-30,,3,24,27,33,42,4,6,,
1975,2024-09-03,,7,9,11,16,45,2,5,,
1976,2024-09-06,,12,14,34,41,47,3,4,,
1977,2024-09-10,,6,29,46,47,48,2,9,,
1978,2024-09-13,,10,15,17,31,42,4,12,,
1979,2024-09-17,,20,30,32,41,44,1,10,,
1980,2024-09-20,,16,25,29,34,37,3,7,,
1981,2024-09-24,,18,20,21,36,49,3,5,,
1982,2024-09-27,,7,20,21,27,38,5,12,,
1983,2024-10-01,,8,22,29,41,42,9,11,,
1984,2024-10-04,,4,8,16,17,20,1,6,,
1985,2024-10-08,,7,14,19,34,40,6,8,,
1986,2024-10-11,,16,23,32,46,49,4,5,,
1987,2024-10-15,,2,15,32,36,48,3,9,,
1988,2024-10-18,,4,15,23,30,39,1,12,,
1989,2024-10-22,,3,13,27,30,46,1,2,,
1990,2024-10-25,,4,17,20,25,45,8,9,,
1991,2024-10-29,,1,2,19,30,45,10,12,,
1992,2024-11-01,,7,33,38,44,50,2,7,,
1993,2024-11-05,,1,8,19,37,50,6,9,,
1994,2024-11-08,,2,33,35,42,48,1,3,,
1995,2024-11-12,,10,11,12,22,50,1,10,,
1996,2024-11-15,,7,8,34,39,44,2,6,,
3943,2024-11-19,,4,13,20,28,49,7,12,,
3944,2024-11-22,,10,11,12,29,31,8,11,,
3945,2024-11-26,,7,11,25,31,40,9,12,,
3946,2024-11-29,,8,17,18,29,43,5,9,,
3947,2024-12-03,,23,25,34,46,47,6,8,,
3948,2024-12-06,,14,25,39,44,47,6,10,,
3949,2024-12-10,,5,24,25,29,47,5,9,,
3950,2024-12-13,,1,15,25,42,50,4,10,,
3951,2024-12-17,,1,3,4,21,29,2,7,,
3952,2024-12-20,,10,14,21,33,50,6,9,,
3953,2024-12-24,,6,10,16,23,24,11,12,,
3954,2024-12-27,,12,22,27,33,45,4,8,,
3955,2024-12-31,,19,24,26,28,33,8,12,,
3956,2025-01-03,,3,19,29,35,37,1,9,,
3957,2025-01-07,,20,33,35,41,47,4,12,,
3958,2025-01-10,,12,27,36,37,42,6,7,,
3959,2025-01-14,,18,20,29,41,48,5,9,,
3960,2025-01-17,,8,15,24,35,42,6,8,,
3961,2025-01-21,,6,8,14,27,41,4,5,,
3962,2025-01-24,,2,11,19,30,49,3,8,,
3963,2025-01-28,,9,37,41,42,49,1,9,,
3964,2025-01-31,,22,30,41,44,49,2,7,,
3965,2025-02-04,,3,4,29,39,43,5,10,,
3966,2025-02-07,,10,23,24,29,45,8,10,,
3967,2025-02-11,,3,21,36,41,46,1,6,,
3968,2025-02-14,,4,14,31,36,38,3,10,,
3969,2025-02-18,,5,14,25,26,40,5,7,,
3970,2025-02-21,,1,3,11,20,43,2,11,,
3971,2025-02-25,,17,22,23,24,44,6,11,,
3972,2025-02-28,,7,16,31,43,46,5,9,,
3973,2025-03-04,,15,20,29,35,42,2,9,,
3974,2025-03-07,,6,10,27,32,48,3,8,,
3975,2025-03-11,,13,36,37,42,47,7,11,,
3976,2025-03-14,,8,10,33,35,49,2,9,,
3977,2025-03-18,,4,9,35,46,50,8,11,,
3978,2025-03-21,,9,17,18,21,50,5,12,,
3979,2025-03-25,,1,3,18,33,36,2,6,,
3980,2025-03-28,,10,21,30,42,45,1,9,,
3981,2025-04-01,,9,24,30,46,49,4,12,,
3982,2025-04-04,,27,39,41,45,50,5,7,,
3983,2025-04-08,,3,14,15,48,49,1,7,,
3984,2025-04-11,,14,28,34,46,49,3,8,,
3985,2025-04-15,,3,31,33,38,44,6,12,,
3986,2025-04-18,,20,27,35,39,48,3,8,,
3987,2025-04-22,,7,28,33,37,47,9,12,,
3988,2025-04-25,,13,22,32,39,41,1,12,,
3989,2025-04-29,,2,9,24,30,41,1,11,,
3990,2025-05-02,,3,5,19,21,49,1,10,,
3991,2025-05-06,,8,23,24,47,48,4,9,,
3992,2025-05-09,,15,18,25,29,47,5,9,,
3993,2025-05-13,,9,19,44,47,50,2,9,,
3994,2025-05-16,,6,9,25,37,46,6,12,,
3995,2025-05-20,,1,8,13,29,47,5,6,,
3996,2025-05-23,,10,29,43,46,49,7,12,,
3997,2025-05-27,,12,30,38,40,41,4,12,,
3998,2025-05-30,,4,7,14,33,36,1,5,,
3999,2025-06-03,,12,15,38,47,48,5,7,,
4000,2025-06-06,,20,21,29,30,35,2,12,,
4001,2025-06-10,,19,36,39,40,45,5,6,,
4002,2025-06-13,,2,28,40,43,45,3,7,,
4003,2025-06-17,,13,22,23,44,49,3,5,,
4004,2025-06-20,,5,8,24,37,47,3,9,,
4005,2025-06-24,,7,16,21,23,39,7,11,,
4006,2025-06-27,,19,27,36,45,49,7,10,,
4007,2025-07-01,,1,17,28,32,34,7,8,,
4008,2025-07-04,,19,29,42,45,48,5,7,,
4009,2025-07-08,,1,8,9,18,50,1,5,,
4010,2025-07-11,,8,23,24,45,49,2,10,,
4011,2025-07-15,,24,38,41,45,49,1,6,,
4012,2025-07-18,,13,19,25,42,45,2,9,,
4013,2025-07-22,,8,15,26,33,41,9,10,,
4014,2025-07-25,,6,7,23,32,36,11,12,,
4015,2025-07-29,,5,6,42,44,46,4,8,,
4016,2025-08-01,,4,16,25,29,30,2,10,,
4017,2025-08-05,,1,3,5,42,47,5,10,,
4018,2025-08-08,,2,12,19,34,44,6,10,,
4019,2025-08-12,,18,28,42,46,48,3,9,,
